num,sku,name,brand,att_set,price,deal_price,style,gender,shape,description,frame_height,frame_width,frame_colour
1,OX8081Matte Black,Oakley Ox8081 Medium (Size-51) Matte Black 01 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Full Rim,Unisex,Rectangle,"b'The grandeur of Oakley OX8081 Size:51 Matte Black 01 Eyeglasses lies in its minimal feel. Frames like this make you agree that being specsy is fun. You get to play with your look and style in myriad ways. So choose this winsome pair now and start your fashion game, bang on.The grandeur of Oakley OX8081 Size:51 Matte Black 01 Eyeglasses lies in its minimal feel. Frames like this make you agree that being specsy is fun. You get to play with your look and style in myriad ways. So choose this winsome pair now and start your fashion game, bang on.Includes- Case Selvyt Care and Warranty- Care- Use mild soap solution and a clean cloth to clean the glassesWarranty- 2 Years Manufacturer WarrantyLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",32,133,Matte Black
2,OX8039Black,Oakley Ox8039 Medium (Size-53) Black 0153 Unisex Eyeglasses ,Oakley,Eyeglasses,6590,5272,Full Rim,Unisex,Rectangle,"b""When you're moving from a tedious day to a leisure evening, it's smart to wear specs that offer tranquility and not anxiety. Yes fashion is essential, but it's good to remember that trendy high heels are pleasing only if they are to be worn for an hour or two, while flats flatter you all day long. Likewise, Oakley OX8039 Chamfer Size:53 0153 Eyeglasses are the perfect answer when it comes to eyewear - not only do they look good on outings or occasions, you feel happy wearing them round the clock!Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands""",32,137,Black
3,OX5126Blue Black,Oakly OX5126 Large (Size-54) Blue Black 03 Unisex Eyeglasses ,Oakley,Eyeglasses,10890,8712,Rimless,Unisex,Rectangle,"b'If you believe in minimalism, these Oakley OX5126 Medium (Size-54) Blue Black 03 Unisex Eyeglasses are perfect for you. Add a smooth look with these durable, light-weight sunglasses made from beta titanium. Three-Point fit gives an accurate optical alignment, which makes these highly reliable for a clear vision.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",33,130,Blue Black
4,OX3133Black,Oakley OX3133 02 TOP SPINNER SEMI-RIM Size:53 Eyeglasses ,Oakley,Eyeglasses,6090,4872,Half Rim,Unisex,Rectangle,"b'Steal the limelight with these designer black eyeglasses from the house of Oakley. Featuring a sturdy black, rectangle half rim frame and bifocal lenses, these eyeglasses prove to be your ideal companion in the corporate world. The Oakley OX3133 02 eyeglasses offer an enhanced vision and greater image clarity to help you see better, look better and feel better. The stainless steel frame is comfortable and light and ensures maximum comfort to the wearer, all day long.\nLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",30,136,Black
5,OX5128Black,Oakley OX5128 Large (Size-54) Black 04 Unisex Eyeglasses ,Oakley,Eyeglasses,10890,8712,Half Rim,Unisex,Rectangle,"b'Oakley OX5128 Large (Size-54) Black 04 Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",35,137,Black
6,OX3218Black,Oakley Ox3218 Large (Size-54) Black 01 Unisex Eyeglasses ,Oakley,Eyeglasses,7490,5992,Half Rim,Unisex,Rectangle,"b'Inspired by renowned sports eyewear, the Oakley Ox3218 Medium (Size-54) Black 01 Unisex Eyeglasses are sure to bring you a confident and sporty look. Angled lenses at the bottom and non-linear temples offer a distinct style, ideal to flaunt among peers.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",33,136,Black
7,OX8093Matte Black Blue,Oakley OX8093 Small (Size-49) Matte Black Blue 07 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Full Rim,Unisex,Wayfarer,"b'Oakley OX8093 Small (Size-49) Matte Black Blue 07 Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",40,134,Matte Black Blue
8,OX31290953Black Blue,Oakley Ox31290953 Medium (Size-53) Black Blue 9 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Half Rim,Unisex,Rectangle,"b'Oakley is back with this stunning half-rim pair with super-sleek temples. Those who enjoy the company of books in their leisure time must pick these Oakley OX31290953 Black Blue 09 Eyeglasses. They are ultra comfortable and soothing... perfect for long, peaceful hours of reading.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",28,140,Black Blue
9,OX8081Matte Black,Oakley Ox8081 Medium (Size-53) Matte Black 153 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Full Rim,Unisex,Rectangle,"b'This is one chashma style that can never go wrong, no matter what your wear. Oakley OX8081 Size:53 Matte Black 0153 Eyeglasses have a comfortable silhouette and contemporary touch and feel. The qualities of this pair will never disappoint you, akin to a glazed doughnut that makes us happy no matter what day and time it is!Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",32,138,Matte Black
10,0OX5142Black,Oakley 0OX5142 Small (Size-54) Black 01 Unisex Eyeglasses ,Oakley,Eyeglasses,10890,8712,Half Rim,Unisex,Aviator,"b'The Oakley 0OX5142 Small (Size-54) Black 01 Unisex Eyeglasses are aviator-style glasses that ooze sophistication and sleekness. The rims are black in color with an artsy metallic detail embedded in the hinges. The frames are made of stainless steel so they are allergy-safe and the issue of corrosion would not be there. If you want to sport fashionable yet smart spectacles for school and daily wear, these are definitely the ones to go for. You can wear them at casual or formal events, and dress up or dress down with them depending upon your mood.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",45,137,Black
